|     name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
|   buffer |    00:00:00 |  -90:00:00. |   99 |   0x1200 |  0.0 |  1200.0 | 2025-11-22 02:07:54.750 |
| BD284211 | 21:51:11.02 | +28:51:50.4 | 10.7 |    1x180 |  1.0 |   180.0 | 2025-11-22 02:09:39.750 |
|  2025qpk | 20:44:37.56 | -01:43:12.6 | 17.9 |   5x1200 |  5.0 |  1200.0 | 2025-11-22 02:17:39.750 |
|  2025rbs | 22:37:03.66 | +34:25:08.0 | 16.3 |   4x1200 |  4.0 |  1200.0 | 2025-11-22 04:15:39.750 |
| 2025abov | 03:06:55.62 | -11:58:55.8 | 15.2 |    3x900 |  3.0 |   900.0 | 2025-11-22 05:50:24.750 |
|  2025tis | 03:55:22.78 | -28:09:32.7 | 16.2 |   4x1200 |  4.0 |  1200.0 | 2025-11-22 06:46:54.750 |
|  2025pht | 04:41:28.87 | -02:51:55.8 | 17.6 |   5x1200 |  5.0 |  1200.0 | 2025-11-22 08:21:39.750 |
| 2025adtn | 09:42:03.31 | +00:20:28.2 | 17.7 |   3x1200 |  3.0 |  1200.0 | 2025-11-22 10:19:39.750 |
| 2025addb | 09:49:54.16 | +00:36:59.6 | 16.5 |   4x1200 |  4.0 |  1200.0 | 2025-11-22 11:31:09.750 |
|  HD84937 | 09:48:56.09 | +13:44:39.3 |  8.3 |     1x60 |  1.0 |    60.0 | 2025-11-22 13:05:54.750 |
|      end |    00:00:00 |  -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2025-11-22 13:11:54.750 |
